channel_title,avg_views,video_count
clothesencounters,201105,4
Quartz,200068,1
The Office US,200060,1
Harper's BAZAAR,199502,2
Abhishek Singh,199488,1
X Factor Italia,199429,1
This Morning,198437,1
Asthmatic Kitty Records,198436,1
Makeupshayla,197950,1
Galantis,197485,1
Hopeless Records,195685,1
The Oregonian,194519,1
PostmodernJukebox,194267,2
LGR,194210,1
Unecht Erfunden,194010,1
H&M,193658,2
Casey Holmes,193391,5
AnthonyPadilla,193225,7
N W,193090,1
Alex Gilbert,193082,1
Late Show with David Letterman,192609,1
Fox News,192288,6
4given4ever1,191953,1
Mashed,191764,1
The CW Television Network,190482,6
Michael Bublé,190152,1
New Orleans Saints on NOLA.com,190113,2
Kylie Minogue,189447,1
Freddie Twenty,189419,1
Guardian News,188614,14
wdwmagic,188213,1
ANDREW HUANG,188121,4
Cody'sLab,188078,2
Variety,187751,6
CBS News,187659,18
Comedy Central,187456,2
JP & Julia,187452,1
Colleen Ballinger,187235,1
Liam Gallagher,187052,1
Washington Post,186861,26
Pittsburgh Dad,186178,1
KaceyMusgravesVEVO,185695,2
Cole and Marmalade,184813,6
RachhLoves,184718,1
EvanescenceVEVO,184676,1
truTV,184655,5
Teen Vogue,183886,7
Moulin Rouge! the Musical,183713,1
Matthias Wandel,183491,4
Wintergatan,183331,1
davematthewsbandVEVO,183266,1
BBCRadio1VEVO,183205,5
It's Okay To Be Smart,183154,3
Seth's Bike Hacks,183149,1
Colleen Vlogs,183016,2
iJustine,182923,11
dodieVEVO,182794,2
Sailing La Vagabonde,182778,1
What I've Learned,182250,1
BBC Three,182222,4
BBC Sport,181773,1
Nikki Glamour,181720,1
Kaplamino,181350,1
Hevesh5,181123,4
MODSUN,180919,1
Condé Nast Traveler,180245,4
The Valleyfolk,179848,2
GreatScott!,179827,2
WeatherTech,179610,1
ABC News,179591,22
Bravo,179387,2
GingerPale,179243,1
Mountain Dew,179107,1
Bill Gates,178938,2
Shaaanxo,178832,1
